group_id,category,subcategory,framework,ecosystem
Microsoft.Azure.WebJobs.Extensions.Http,,,,dotnet
Microsoft.Azure.WebJobs.Extensions.ServiceBus,,,,dotnet
Microsoft.Azure.WebJobs.Extensions.Storage,,,,dotnet
Microsoft.Azure.WebJobs.Host.Storage,,,,dotnet
Microsoft.Azure.WebJobs.ItemTemplates,,,,dotnet
Microsoft.Azure.WebJobs.ProjectTemplates,,,,dotnet
Microsoft.Azure.WebJobs.Script.ExtensionsMetadataGenerator,,,,dotnet
Microsoft.Bcl.AsyncInterfaces,,,,dotnet
Microsoft.Bcl.HashCode,,,,dotnet
Microsoft.Bcl.TimeProvider,,,,dotnet
Microsoft.Build.Locator,,,,dotnet
Microsoft.Build.Tasks.Git,,,,dotnet
Microsoft.CodeAnalysis,,,,dotnet
Microsoft.CodeAnalysis.AnalyzerUtilities,,,,dotnet
Microsoft.CodeAnalysis.CSharp.Features,,,,dotnet
Microsoft.CodeAnalysis.CSharp.Scripting,,,,dotnet
Microsoft.CodeAnalysis.Features,,,,dotnet
Microsoft.CodeAnalysis.FxCopAnalyzers,,,,dotnet
Microsoft.CodeAnalysis.NetAnalyzers,,,,dotnet
Microsoft.CodeAnalysis.Scripting.Common,,,,dotnet
Microsoft.CodeAnalysis.VersionCheckAnalyzer,,,,dotnet
Microsoft.CodeAnalysis.VisualBasic.Features,,,,dotnet
Microsoft.CodeAnalysis.VisualBasic.Workspaces,,,,dotnet
Microsoft.CodeAnalysis.Workspaces.MSBuild,,,,dotnet
Microsoft.CodeQuality.Analyzers,,,,dotnet
Microsoft.Data.OData,,,,dotnet
Microsoft.Data.SqlClient,,,,dotnet
Microsoft.Data.SqlClient.SNI,,,,dotnet
Microsoft.Data.SqlClient.SNI.runtime,,,,dotnet
Microsoft.Data.Sqlite,,,,dotnet
Microsoft.DiaSymReader,,,,dotnet
Microsoft.Diagnostics.NETCore.Client,,,,dotnet
Microsoft.Diagnostics.Runtime,,,,dotnet
Microsoft.Diagnostics.Tracing.EventSource.Redist,,,,dotnet
Microsoft.Diagnostics.Tracing.TraceEvent,,,,dotnet
Microsoft.DotNet.Scaffolding.Shared,,,,dotnet
Microsoft.EntityFrameworkCore,,,,dotnet
Microsoft.EntityFrameworkCore.Proxies,,,,dotnet
Microsoft.EntityFrameworkCore.Relational.Design,,,,dotnet
Microsoft.EntityFrameworkCore.SqlServer.NetTopologySuite,,,,dotnet
Microsoft.Extensions.ApiDescription.Client,,,,dotnet
Microsoft.Extensions.ApiDescription.Server,,,,dotnet
Microsoft.Extensions.Azure,,,,dotnet
Microsoft.Extensions.Caching.StackExchangeRedis,,,,dotnet
Microsoft.Extensions.Compliance.Abstractions,,,,dotnet
Microsoft.Extensions.Configuration.AzureAppConfiguration,,,,dotnet
Microsoft.Extensions.Configuration.KeyPerFile,,,,dotnet
Microsoft.Extensions.DependencyInjection,,,,dotnet
Microsoft.Extensions.Diagnostics,,,,dotnet
Microsoft.Extensions.Diagnostics.Abstractions,,,,dotnet
Microsoft.Extensions.Diagnostics.HealthChecks,,,,dotnet
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions,,,,dotnet
Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore,,,,dotnet
Microsoft.Extensions.Features,,,,dotnet
Microsoft.Extensions.Hosting,,,,dotnet
Microsoft.Extensions.Hosting.WindowsServices,,,,dotnet
Microsoft.Extensions.Http,,,,dotnet
Microsoft.Extensions.Http.Polly,,,,dotnet
Microsoft.Extensions.Logging,,,,dotnet
Microsoft.Extensions.Logging.ApplicationInsights,,,,dotnet
Microsoft.Extensions.Logging.EventLog,,,,dotnet
Microsoft.Extensions.Logging.Log4Net.AspNetCore,,,,dotnet
Microsoft.Extensions.Options.DataAnnotations,,,,dotnet
Microsoft.Extensions.Telemetry.Abstractions,,,,dotnet
Microsoft.FeatureManagement,,,,dotnet
Microsoft.FeatureManagement.AspNetCore,,,,dotnet
Microsoft.Graph,,,,dotnet
Microsoft.Graph.Core,,,,dotnet
Microsoft.IO.RecyclableMemoryStream,,,,dotnet
Microsoft.Identity.Abstractions,,,,dotnet
Microsoft.Identity.Client,,,,dotnet
Microsoft.Identity.Client.Extensions.Msal,,,,dotnet
Microsoft.Identity.Web,,,,dotnet
Microsoft.Identity.Web.Certificate,,,,dotnet
Microsoft.Identity.Web.Certificateless,,,,dotnet
Microsoft.Identity.Web.Diagnostics,,,,dotnet
Microsoft.Identity.Web.TokenAcquisition,,,,dotnet
Microsoft.Identity.Web.TokenCache,,,,dotnet
Microsoft.Identity.Web.UI,,,,dotnet
Microsoft.IdentityModel.Abstractions,,,,dotnet
Microsoft.IdentityModel.Clients.ActiveDirectory,,,,dotnet
Microsoft.IdentityModel.LoggingExtensions,,,,dotnet
Microsoft.IdentityModel.Protocols.WsFederation,,,,dotnet
Microsoft.IdentityModel.Protocols.WsTrust,,,,dotnet
Microsoft.IdentityModel.Tokens.Saml,,,,dotnet
Microsoft.IdentityModel.Validators,,,,dotnet
Microsoft.IdentityModel.Xml,,,,dotnet
Microsoft.JSInterop,,,,dotnet
Microsoft.JSInterop.WebAssembly,,,,dotnet
Microsoft.Kiota.Abstractions,,,,dotnet
Microsoft.Kiota.Authentication.Azure,,,,dotnet
Microsoft.Kiota.Http.HttpClientLibrary,,,,dotnet
Microsoft.Kiota.Serialization.Form,,,,dotnet
Microsoft.Kiota.Serialization.Json,,,,dotnet
Microsoft.Kiota.Serialization.Multipart,,,,dotnet
Microsoft.Kiota.Serialization.Text,,,,dotnet
Microsoft.NET.ILLink.Tasks,,,,dotnet
Microsoft.NET.Sdk.Android.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Android.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.Android.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Android.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.Android.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Functions,,,,dotnet
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100.Msi.x64,,,,dotnet
